adr,cluster
cravings,1
depression,1
tremors,1
brain fog,1
headaches,1
withdrawal,1
migraines,1
nightmares,1
suicide,1
mood swings,1
addictive,1
addiction,1
dehydrated,2
withdrawals,2
numb,2
tolerance,2
vertigo,2
derealization,2
tinnitus,2
panic attack,2
anxiety,2
headache,2
seizures,2
weight gain,3
insomnia,3
lethargic,3
fatigue,3
shaking,3
irritability,3
sweating,3
dehydration,3
exhausted,3
panic attacks,4
mania,4
delusions,4
heart palpitations,4
paranoia,4
psychosis,4
agitated,5
tired,5
suicidal,5
irritable,5
anxious,5
depressed,5
dizziness,6
constipated,6
diarrhea,6
nausea,6
vomiting,6
keyed-up,7
groggy,7
manic,7
abuse,8
addicted,8
dizzy,9
nauseous,9
swollen ankles,10
kidney damage,10
