adr,x,y
anxiety,-0.9935753,5.342188
withdrawal,-3.3190522,1.0384678
insomnia,-4.844678,3.1803133
withdrawals,-1.5473509,7.3892646
depression,-2.2096329,4.250505
anxious,-3.9888701,5.137088
nausea,-5.6141834,-1.0952712
headaches,-4.563851,-0.57198435
paranoia,2.2051477,4.9833527
cravings,-1.7554979,0.5357671
addiction,-2.1101851,0.26665905
depressed,-5.130149,6.034052
panic attacks,0.09199916,4.7067466
irritable,-4.9918113,6.884578
tolerance,-0.58261806,3.2418933
sweating,-4.2078123,-2.5213075
weight gain,-2.9252403,-2.8703191
manic,1.9371914,-2.320695
keyed-up,1.938424,-2.3228266
dizzy,2.2568064,9.47193
nauseous,2.2564824,9.47164
kidney damage,3.7103531,0.9722398
swollen ankles,3.7142632,0.97312176
groggy,1.9379259,-2.3228028
numb,-0.596127,6.9700885
dizziness,-6.0031657,-0.42485517
derealization,-0.583759,7.517578
addicted,0.109029226,2.1197681
fatigue,-2.432957,-3.439806
tinnitus,-0.16104294,7.0643253
panic attack,-2.4687636,5.442233
migraines,-3.356449,0.020811608
nightmares,-3.2562826,2.3724942
tremors,-2.715271,2.6059117
exhausted,-4.389948,4.3149
psychosis,3.0058622,5.096297
mania,2.743945,5.282829
agitated,-4.67175,6.341352
addictive,-3.0556195,0.07843256
dehydration,-2.3874497,-3.4700432
diarrhea,-4.782507,-0.038813137
dehydrated,-1.0585794,6.3119574
vomiting,-6.1500173,-1.0062746
shaking,-4.2126756,-2.4798484
delusions,2.667045,4.7207255
tired,-5.4637766,7.0402226
abuse,0.12225779,2.0680828
suicidal,-5.582588,6.4420547
constipated,-5.5686536,-0.60261947
lethargic,-4.5595064,3.4003456
irritability,-4.139686,3.352698
brain fog,-2.5236113,1.3905685
heart palpitations,-0.0912577,5.023709
mood swings,-2.4673257,3.8404927
vertigo,-1.4473128,6.939351
suicide,-2.7597349,0.978803
seizures,-1.2823957,4.6169095
headache,-1.425509,4.6669493
