dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,adr,cluster_x,x,y,cluster_y,soc
0.015565768,0.055242278,0.40697744,0.21693887,-0.21346903,-0.1901898,-0.005997076,0.13740782,0.019915534,-0.11064954,0.2890504,-0.022559667,-0.05360919,0.11416537,-0.19355933,-0.0002571118,-0.06749096,-0.0004904521,-0.29450166,0.057697177,0.25700322,0.08852453,0.39235875,-0.099466234,0.05274967,0.21820985,-0.2840556,0.0055844174,-0.30596778,-0.19959506,-0.20309499,-0.054288726,-0.09522893,-0.18626131,0.106495135,-0.041363202,0.17184933,0.0929478,0.21383852,0.03108133,-0.020452905,0.18358468,-0.13768128,-0.2694426,-0.055689946,-0.060221657,-0.049365755,0.13819365,-0.06961784,-0.080460645,0.026590114,0.089127816,-0.057812043,0.22774199,0.29632583,0.045517482,0.2028554,-0.16759905,-0.1159858,0.09899452,-0.026160534,-0.17136163,-0.051066123,-0.08645138,anxiety,1,-109.13719,-65.294174,2,Psychiatric disorders
-0.006756281,0.08395086,0.38162655,0.22667928,-0.17095754,-0.17291562,0.032125298,0.10420709,-0.006777892,-0.14215863,0.27957943,0.027034162,-0.0062243184,0.10036525,-0.16974,-0.005936024,-0.120986156,0.012344908,-0.21159357,0.10977654,0.19799413,0.046207946,0.41979498,-0.146351,0.062314466,0.24987666,-0.26122513,-0.013505543,-0.2814958,-0.19554271,-0.10020895,-0.04451591,-0.18499628,-0.22016498,0.122490354,0.013758686,0.080890425,0.14348714,0.20671158,0.053285517,0.07627555,0.1839387,-0.14828053,-0.27467993,-0.07106909,-0.10527513,-0.03402958,0.051957022,-0.09378624,-0.059739795,0.083837,0.11162852,-0.014109718,0.24577874,0.28110737,0.05259369,0.17825665,-0.16611975,-0.08026658,0.050695833,-0.0012598665,-0.1955098,-0.08290237,-0.04267875,withdrawal,3,-77.395515,6.0413876,1,Psychiatric disorders
0.0015855768,0.058777846,0.3933906,0.1820151,-0.16973901,-0.17900555,-0.001653263,0.10040835,0.014507219,-0.09942313,0.28460023,0.013889758,-0.030230751,0.08405762,-0.18637696,-0.001907286,-0.090030245,0.01305568,-0.22992721,0.08067868,0.21453238,0.055333197,0.38463825,-0.115821116,0.048688482,0.2302845,-0.26507592,0.0012590125,-0.26485428,-0.18142763,-0.15461642,-0.04671792,-0.15134385,-0.18147923,0.11392467,-0.022615213,0.12513405,0.11496269,0.21962,0.02462517,0.0305892,0.19075088,-0.14290889,-0.28047308,-0.034649458,-0.07253983,-0.031894606,0.07672721,-0.08335486,-0.07646777,0.06709738,0.081834644,-0.052427262,0.22104526,0.28345573,0.04002203,0.17230089,-0.15762378,-0.08569037,0.06742782,-0.015145005,-0.1847201,-0.055314388,-0.054770228,depression,1,69.253555,102.89229,1,Psychiatric disorders
0.009853002,0.015531161,0.37488735,0.17719299,-0.1394283,-0.16574071,-0.039068803,0.092808865,-0.005242087,-0.096779786,0.26488543,-0.00711497,-0.03339247,0.11002374,-0.1910771,-0.009630956,-0.10558137,0.0068655387,-0.25586164,0.07238323,0.219261,0.04545866,0.3822356,-0.103125095,0.0480295,0.25149724,-0.2872949,-0.02365183,-0.30510676,-0.20460302,-0.15729047,-0.082791485,-0.12885708,-0.19468315,0.15091401,-0.0074408576,0.10022034,0.10074767,0.22407804,0.029075792,-0.0014841073,0.16937771,-0.16936032,-0.27065736,-0.04059606,-0.08584604,-0.010258315,0.079029165,-0.082665674,-0.056699757,0.05967743,0.11067887,-0.034625504,0.2102003,0.27380037,0.04888561,0.16706209,-0.16443534,-0.06963753,0.09983479,-0.02626459,-0.19545974,-0.07962138,-0.045637444,insomnia,2,104.42882,-9.925482,3,Nervous system disorders
0.0026025272,-0.017803349,0.39670575,0.12464211,-0.1015348,-0.14421701,-0.05272881,0.062675126,-0.01969239,-0.07158017,0.32903412,-0.017395983,-0.090909846,0.11365164,-0.22878115,-0.041447837,-0.08502934,-0.027760835,-0.2994445,0.0864933,0.21109536,0.021691687,0.36812857,-0.07360805,0.008296245,0.2368163,-0.326527,-0.024522642,-0.3397471,-0.2251232,-0.17403793,-0.08726369,-0.14039539,-0.18444325,0.17592363,-0.014313473,0.124670655,0.06480114,0.24764697,0.07555591,-0.009174355,0.17046146,-0.19846432,-0.30644906,-0.030312166,-0.101994365,0.031639505,0.09146162,-0.07547215,-0.028481405,0.049278207,0.14769155,-0.03573541,0.15277217,0.2893527,0.077292465,0.21656902,-0.18244274,-0.025929417,0.16699123,0.0009552833,-0.19324294,-0.07608105,0.0137147335,anxious,2,6.264829,39.944984,5,Unclassified
0.014795002,0.029300118,0.39512995,0.19842514,-0.19970065,-0.17470773,-0.011650905,0.117347725,0.011683646,-0.10668604,0.27115792,-0.021959614,-0.058400553,0.083212994,-0.1618381,0.009674263,-0.05164033,-0.0045499234,-0.26562473,0.09231779,0.22689636,0.08090621,0.36762947,-0.08718874,0.057626862,0.22610793,-0.25367177,-0.0067319702,-0.26951647,-0.18645243,-0.17663774,-0.059734996,-0.13210489,-0.19964819,0.09896746,-0.028914126,0.1445768,0.10748895,0.22288318,0.018771855,-0.0053331056,0.18170837,-0.11242796,-0.25320125,-0.01979188,-0.07571381,-0.041845467,0.11041797,-0.063464984,-0.09734049,0.057358675,0.06693329,-0.054303642,0.23669432,0.26239964,0.036624335,0.15280004,-0.14233802,-0.099084035,0.08993184,-0.03486682,-0.14938253,-0.041168395,-0.058639795,withdrawals,1,6.2099233,-52.737488,2,Unclassified
0.008304368,0.026051912,0.4000289,0.19326638,-0.19109476,-0.20337966,-0.042816013,0.107286654,0.008106476,-0.11690582,0.29814878,-0.017015222,-0.031875107,0.07113633,-0.17464176,-0.022747358,-0.0897807,0.013099288,-0.2674064,0.067208074,0.2257345,0.09073417,0.3592118,-0.06797175,0.029176975,0.24732918,-0.27464956,0.010122805,-0.28548437,-0.17423457,-0.20132157,-0.07303025,-0.12206083,-0.169606,0.118151635,-0.045174755,0.14880438,0.06754992,0.23605685,0.04831133,-0.01574647,0.17512335,-0.12598594,-0.23967673,-0.047796812,-0.068902224,-0.028075945,0.10060587,-0.052238863,-0.106615275,0.07146398,0.05353429,-0.06329133,0.23236158,0.26240504,0.055076152,0.1740627,-0.1795382,-0.11772726,0.11262505,-0.011568999,-0.17365563,-0.04722125,-0.06398737,paranoia,4,-52.106815,-47.342957,4,Unclassified
-0.06042482,-0.533999,0.46179643,0.0111051565,0.006412051,-0.50005406,-0.23308349,-0.22505425,-0.5613984,-0.45011526,0.5141655,0.013941123,-0.11044329,-0.22677547,-0.00652896,-0.29687974,-0.18958086,0.15989612,0.2603509,0.12319007,-0.0786479,0.046552427,0.2009558,0.41951126,0.10019084,0.5558927,-0.025107767,0.097365305,-0.059115853,-0.13576715,-0.17395513,-0.47784147,-0.44355187,-0.51037383,0.26016402,0.091411166,-0.15461384,-0.22725196,0.605007,-0.14504866,-0.06186862,0.2974987,-0.3496844,-0.3572841,0.46088997,-0.4893829,-0.089046724,-0.43158215,0.377602,0.040483914,0.38617542,-0.13292973,-0.22924562,0.38216606,0.2613173,-0.1277133,-0.36672828,-0.5265107,0.14579502,0.41016594,0.010153439,-0.23612604,-0.23429863,0.11417457,sweating,6,-47.202126,-107.832726,3,Unclassified
-0.08606225,-0.53567207,0.44557324,-0.01587075,-0.029488886,-0.49924156,-0.23471601,-0.21157576,-0.55507463,-0.43288895,0.5342181,0.043118108,-0.13386855,-0.2194835,-0.004245519,-0.31742066,-0.17706142,0.17418407,0.2526793,0.082078904,-0.08184696,0.0058017317,0.21291068,0.42753047,0.12154182,0.55338806,-0.012873241,0.07552095,-0.03095981,-0.16884775,-0.20672797,-0.46115682,-0.4250932,-0.50257146,0.25058553,0.1103379,-0.14639887,-0.21667953,0.5864873,-0.170029,-0.02738362,0.3283538,-0.38145474,-0.34317175,0.47327822,-0.49721938,-0.1122023,-0.42692122,0.3827272,0.034166135,0.3986435,-0.1611523,-0.20429653,0.37962168,0.26275215,-0.10289887,-0.3644557,-0.5418426,0.14371826,0.4159099,0.03781395,-0.20148644,-0.22266908,0.13147895,shaking,6,-21.905544,-1.5684098,3,Unclassified
-0.024217864,0.07515074,0.37518728,0.21407636,-0.14621864,-0.1943176,0.030427238,0.056258865,-0.02346915,-0.15672049,0.2630646,0.045958076,-0.025033562,0.09086103,-0.1386835,0.01329851,-0.13661762,0.0073271734,-0.16747871,0.1078787,0.18842849,0.020140035,0.40188745,-0.13244782,0.08225484,0.2346996,-0.2463405,-0.010066209,-0.2662132,-0.18785582,-0.09622856,-0.05909713,-0.18884425,-0.21266069,0.13137448,0.015837774,0.07793287,0.1478803,0.1930728,0.034069486,0.08724857,0.20903187,-0.15003552,-0.30075696,-0.047291428,-0.116555765,-0.024334284,0.04332727,-0.06757923,-0.06390043,0.08541284,0.07882194,-0.02376723,0.23370758,0.29593098,0.059878815,0.15213162,-0.16079867,-0.09628926,0.066667795,-0.019623518,-0.21497165,-0.08284907,-0.059407264,cravings,3,-49.25264,57.488235,1,Unclassified
